"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"228695438822342657","","","","","2012-07-27 03:36:56 +0000","<a href=""http://instagr.am"" rel=""nofollow"">Instagram</a>","8:36pm Sunset family beach times  @ Golden Gardens Park http://t.co/jBgFElt3","http://instagr.am/p/Nkbg3Ro0F7/"
"228692626751250432","","","","","2012-07-27 03:25:45 +0000","<a href=""http://instagr.am"" rel=""nofollow"">Instagram</a>","Seattle is being purty again  @ Golden Gardens Park http://t.co/5lJN7QBG","http://instagr.am/p/NkbMeJI0Fu/"
"228688347927822336","","","","","2012-07-27 03:08:45 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">YouTube on iOS</a>","Obligatory ""Whoop, there it is"" moment http://t.co/s5jEKncc","http://www.youtube.com/watch?v=tHjd45FpC_Y&feature=youtube_gdata_player"
"228598974276321280","","","","","2012-07-26 21:13:37 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","OH ?Nominalization is a nominalization.?"
"228582107050561538","228581823964393472","14620776","","","2012-07-26 20:06:35 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@ellenchisa Yeah, I was confused about that too? tried to edit it to say 8:36pm but unfortunately it?s not editable. /cc @vizify"
"228578423709265921","","","","","2012-07-26 19:51:57 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","VERY impressed with what @vizify has cooked up. Check out my graphical bio: https://t.co/nN8XZVaQ","https://www.vizify.com/buster-benson"
"228393281325764608","228392391772610560","7777252","","","2012-07-26 07:36:16 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@xenocid He bought 6000 rounds via mail order. What benefit do we get from that that outweighs mass murders and enabling crazy people?"
"228391946077483009","228384781379964928","7777252","","","2012-07-26 07:30:57 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@xenocid Which stricter rules? Buying 6000 rounds via mail order is probably one easy rule to avoid."
"228333718102761472","","","","","2012-07-26 03:39:35 +0000","<a href=""http://flickr.com/services/twitter/"" rel=""nofollow"">Flickr</a>","8:36pm Carinna's back! http://t.co/KjKVls5i","http://flic.kr/p/cDPG7b"
"228303522179985408","228281091507761154","12426422","","","2012-07-26 01:39:36 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@CoriReady Hi! Yeah lots going on. We should hang out soon!"
"228289455134494721","","","","","2012-07-26 00:43:42 +0000","<a href=""http://www.apple.com/"" rel=""nofollow"">OS X</a>","Tweeting from my new notification center in Mountain Lion. The notebook paper aesthetic is a little weird, but okay."
"228265925709811712","228256728880406529","16252045","","","2012-07-25 23:10:12 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@Lowrha That?s pretty hilarious. Welcome back to #reality, Laura. :)"
"228245951284932608","228240614490243073","629344793","","","2012-07-25 21:50:50 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@effectivefforts Thank you! Yes, good catch on the missing tip too."
"228209478162608130","","","","","2012-07-25 19:25:54 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","Hey @bjfogg I?d love your feedback on this if you have some time today: http://t.co/4ukpmA39","http://branch.com/b/what-are-your-current-best-practices-for-building-habits"
"228202259186601984","228201132256808960","23723225","","","2012-07-25 18:57:13 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@johnmdonahue That?s a really cool habit trick. :)"
"228200728164958208","228200080618958848","123116307","","","2012-07-25 18:51:08 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@LilHossler Thanks, Aimee! Lots of stuff in the works now? hope to make the best of an unfortunate situation."
"228200374157340672","","","228197264542281728","3392991","2012-07-25 18:49:43 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","RT @elyseholladay: @busterbenson ? definitely agree with planning for bad days. that's how i always screw myself up! +1 for ""inspiration ..."
